payment_id,event_id,participant_id,amount,payment_date,payment_method,categories
PY001,E001,P001,275000,5/10/2023,Card,"Music System,Catering,Lighting"
PY002,E001,P002,275000,5/12/2023,Card,"Music System,Catering,Lighting"
PY003,E003,P004,215000,7/15/2023,Bank Transfer,"Decorations,Catering"
PY004,E002,P005,370000,6/1/2023,Card,"AV Equipment,WiFi,Catering"
PY005,E004,P006,280000,8/20/2023,Bank Transfer,"AV Equipment,Lighting,Catering"
PY006,E005,P007,260000,9/5/2023,Card,"Music System,Decorations,Food Stalls"
PY007,E006,P008,195000,10/12/2023,Card,"AV Equipment,Decorations"
PY008,E001,P009,275000,5/14/2023,Bank Transfer,"Music System,Catering,Lighting"
PY009,E007,P010,265000,12/1/2023,Card,"Music System,Catering,Lighting"
PY010,E002,P003,370000,6/1/2023,Card,"AV Equipment,WiFi,Catering"
PY011,E007,P011,265000,05/01/2025,Cash,"Music System,Catering,Lighting"
PY012,E001,P012,275000,05/01/2025,Cash,"Music System,Catering,Lighting"
PY013,E001,P013,275000,05/07/2025,cash,"Music System,Catering,Lighting"
